snapped_at,price,market_cap,total_volume
2017-11-10 00:00:00 UTC,0.0205593969104703,0.0,40805.1085905897
2017-11-11 00:00:00 UTC,0.0214067057747681,0.0,39730.43118549572
2017-11-12 00:00:00 UTC,0.0186596428450127,0.0,42857.28684352103
2017-11-13 00:00:00 UTC,0.0235249350464399,0.0,63545.402062022506
2017-11-14 00:00:00 UTC,0.0300357870584728,0.0,107786.92167153
2017-11-15 00:00:00 UTC,0.0255713995968376,19336901.4846306,92348.4448280536
2017-11-16 00:00:00 UTC,0.0219715469132105,16614719.7581721,50687.093022608
2017-11-17 00:00:00 UTC,0.0203514002936616,15389576.9788637,43489.5275762964
2017-11-18 00:00:00 UTC,0.0233686019470627,17671162.3457553,29861.8530313937
2017-11-19 00:00:00 UTC,0.0234851136783847,17759267.6472209,64578.3840180464
2017-11-20 00:00:00 UTC,0.0240594124374054,18193548.0816521,38675.9109730615
2017-11-21 00:00:00 UTC,0.0212331734617649,16056367.2661467,33042.161184072
2017-11-22 00:00:00 UTC,0.0222983587769339,16861852.4498692,20476.7157139896
2017-11-23 00:00:00 UTC,0.024101315903691,18225235.1700479,1221957.35788958
2017-11-24 00:00:00 UTC,0.0243374154482961,18403771.8831952,782466.408813408
2017-11-25 00:00:00 UTC,0.0228362760592929,17268621.4832365,507431.296421898
2017-11-26 00:00:00 UTC,0.0247199546555614,18693045.1760741,418428.434777925
2017-11-27 00:00:00 UTC,0.0276965093099815,20943893.585766,738784.62733419
2017-11-28 00:00:00 UTC,0.0266207504646008,20130412.7774289,813386.672152662
2017-11-29 00:00:00 UTC,0.0220770320205776,16694486.8089168,641933.630146325
2017-11-30 00:00:00 UTC,0.0234021224197333,17696510.2769584,404961.681975883
2017-12-01 00:00:00 UTC,0.0251063716693811,18985250.8373215,279111.818831031
2017-12-02 00:00:00 UTC,0.0275239504096716,20813405.8335038,357267.61639612
2017-12-03 00:00:00 UTC,0.0254157982253269,19219236.8890585,494377.501028917
2017-12-04 00:00:00 UTC,0.0265483000949342,20075626.348729,372030.506608422
2017-12-05 00:00:00 UTC,0.0285416360716402,21582972.134061,1504004.27604671
2017-12-06 00:00:00 UTC,0.0360650379529758,27272112.474532,23802.9246522486
2017-12-07 00:00:00 UTC,0.0563912414343864,42642635.8120657,27552564.5373006
2017-12-08 00:00:00 UTC,0.0434966895675979,32891871.9482299,7503555.71243531
2017-12-09 00:00:00 UTC,0.0408096780314989,30859973.883173,2425727.65371875
2017-12-10 00:00:00 UTC,0.043491505754235,32887951.987262,3108772.86488913
2017-12-11 00:00:00 UTC,0.0480855635676923,36361944.2111569,1946543.17705508
2017-12-12 00:00:00 UTC,0.0486630790503321,36798657.107976,2389658.1812464
2017-12-13 00:00:00 UTC,0.0474798687703714,35903922.3269345,1492333.95642369
2017-12-14 00:00:00 UTC,0.0542670759731782,41036357.7471952,2826450.64933143
2017-12-15 00:00:00 UTC,0.0606281398227225,45846546.744879,2604771.95869711
2017-12-16 00:00:00 UTC,0.0896171151655934,67767793.496457,16057629.7070393
2017-12-17 00:00:00 UTC,0.130341888386245,98563562.995482,21762620.0557372
2017-12-18 00:00:00 UTC,0.118771732594437,89814297.5569295,7005221.69958777
2017-12-19 00:00:00 UTC,0.129818020030595,98167417.655616,5724752.29583291
2017-12-20 00:00:00 UTC,0.110162441431342,83304015.8477553,6423405.40548688
2017-12-21 00:00:00 UTC,0.108206921969458,81825266.6286316,5978287.53288498
2017-12-22 00:00:00 UTC,0.0973533833526,73617901.7482294,4859814.4947036
2017-12-23 00:00:00 UTC,0.181115397381773,136958111.473656,261762.631165598
2017-12-24 00:00:00 UTC,0.163092961046174,123329679.654163,192080.328530308
2017-12-25 00:00:00 UTC,0.162443111077354,122838267.958871,131818.597699618
2017-12-26 00:00:00 UTC,0.156466721394719,118318966.694611,6844858.6622625
2017-12-27 00:00:00 UTC,0.166304486220261,125758211.016772,6884305.04890006
2017-12-28 00:00:00 UTC,0.156735343515742,118522096.737265,5746086.17106523
2017-12-29 00:00:00 UTC,0.173248876541059,131009507.137486,6261418.14143734
2017-12-30 00:00:00 UTC,0.1686384315142,127523123.025147,8909876.17058726
2017-12-31 00:00:00 UTC,0.186317008750021,140891531.160295,9658370.06918521
2018-01-01 00:00:00 UTC,0.184663206015074,139640937.877766,6245159.70946645
