snapped_at,price,market_cap,total_volume
2020-10-12 00:00:00 UTC,11209.021370600884,57279292.51607352,0.0
2020-10-13 00:00:00 UTC,11209.021370600884,57279292.51607352,0.0
2020-10-14 00:00:00 UTC,11209.021370600884,64004694.12941268,0.0
2020-10-15 00:00:00 UTC,11209.021370600884,64004694.12941268,0.0
2020-10-16 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-10-27 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-10-28 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-10-29 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-10-30 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-10-31 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-11-05 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-11-06 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-11-09 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-11-10 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-11-11 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-11-12 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-11-13 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-11-14 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-11-15 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-11-16 00:00:00 UTC,11209.021370600884,67367394.93608226,0.0
2020-11-17 00:00:00 UTC,16696.470779793166,100294228.47035654,49874.8292969176
2020-11-18 00:00:00 UTC,17694.622286631682,106280952.76071224,52853.00512292136
2020-11-19 00:00:00 UTC,17848.570486172117,107203929.09875683,43901.28994202471
2020-11-20 00:00:00 UTC,17796.778272416173,106895579.2185812,18944.510299982565
2020-11-21 00:00:00 UTC,18528.353537025738,111457547.80440296,28131.339778316666
2020-11-22 00:00:00 UTC,18573.976876654604,111843187.3206093,26956.31977120444
2020-11-23 00:00:00 UTC,18322.32453147502,110119093.54516448,30563.890964417704
2020-11-24 00:00:00 UTC,18239.35343508164,109418217.61620674,30314.68089807057
2020-11-25 00:00:00 UTC,19004.827992807397,114104959.07915422,40057.31217287183
2020-11-26 00:00:00 UTC,18707.49732011621,112192118.70363627,27361.69782538589
2020-11-27 00:00:00 UTC,16968.601177873898,102142109.71639726,48125.80366544826
2020-11-28 00:00:00 UTC,16953.143306778155,101618975.04040104,16969.672621502265
2020-11-29 00:00:00 UTC,17551.78131958296,105636156.98358616,22648.590441632696
2020-11-30 00:00:00 UTC,17986.50808910963,107984556.2705798,27855.687091095995
2020-12-01 00:00:00 UTC,19533.382980052647,117176756.90125224,53057.19991867436
2020-12-02 00:00:00 UTC,18690.766215912703,112361901.17198732,36601.11817924619
2020-12-03 00:00:00 UTC,19075.19077629427,114186118.13275447,18372.079244280063
2020-12-04 00:00:00 UTC,19353.545530428488,116418733.1670808,25456.008739355548
2020-12-05 00:00:00 UTC,18685.562927543848,112382219.2079629,83943.02111036514
2020-12-06 00:00:00 UTC,19097.11736714082,114714610.23118326,48007.51736484295
2020-12-07 00:00:00 UTC,19328.942979788662,116115799.82955186,323465.79413171695
2020-12-08 00:00:00 UTC,19181.309181669963,115299368.37097168,496854.5144986073
2020-12-09 00:00:00 UTC,18338.227124064808,110427120.84709714,322659.3409573515
2020-12-10 00:00:00 UTC,18548.086994787893,111417232.59548186,40613.61465918036
2020-12-11 00:00:00 UTC,18279.342245201267,109970405.25350684,21066.265601931387
2020-12-12 00:00:00 UTC,18142.75601925705,109139381.09415346,36921.34935777277
2020-12-13 00:00:00 UTC,18816.20109527708,113092499.52800688,799219.4724909671
2020-12-14 00:00:00 UTC,19167.06693233839,115163689.42520574,993978.0292311524
2020-12-15 00:00:00 UTC,19175.648084555836,115207163.33694102,24717.25697580779
2020-12-16 00:00:00 UTC,19450.765906875804,116849269.41452403,5137022.029378695
2020-12-17 00:00:00 UTC,21326.799143082742,128078503.41412564,4919466.162328712
2020-12-18 00:00:00 UTC,22609.77026883025,135244674.76432008,63378.446346624114
2020-12-19 00:00:00 UTC,22765.20726524204,136543623.98732984,17049.61367988651
2020-12-20 00:00:00 UTC,23644.963664728413,148718394.0620888,25767.903082402387
2020-12-21 00:00:00 UTC,23376.2659526282,147288628.89711308,31766.66233847313
2020-12-22 00:00:00 UTC,22676.164501477888,157013218.09316838,41692.37337625274
2020-12-23 00:00:00 UTC,23670.502341116706,163347848.7722142,107462.80242154344
2020-12-24 00:00:00 UTC,23305.942535872786,161611573.4239996,2792461.646363357
2020-12-25 00:00:00 UTC,23702.886961641896,163676408.38888958,2357828.578272852
2020-12-26 00:00:00 UTC,24483.78035455879,169303754.54246914,1474814.4196926395
2020-12-27 00:00:00 UTC,26340.79833097876,181893194.39807576,3381584.7961066086
2020-12-28 00:00:00 UTC,26205.20270932953,181924473.43482405,3707356.938551846
2020-12-29 00:00:00 UTC,26933.26973649072,185761304.4412266,875083.4264878334
2020-12-30 00:00:00 UTC,27240.06253721069,187189814.28571585,1156294.8641594688
2020-12-31 00:00:00 UTC,28603.355121615183,197656409.12052107,2149191.717685786
2021-01-01 00:00:00 UTC,28939.313082884397,257124874.83541572,5038436.33787012
2021-01-02 00:00:00 UTC,29275.52680345397,261004522.89582983,5929841.123057488
2021-01-03 00:00:00 UTC,31843.327481123088,282726963.96490484,3521255.3577985778
2021-01-04 00:00:00 UTC,33021.40333836115,296524699.846744,2938698.350420636
2021-01-05 00:00:00 UTC,31225.71625042793,278093145.66395164,6031236.702868246
2021-01-06 00:00:00 UTC,33959.82970568617,301953836.4063205,3094133.616404704
2021-01-07 00:00:00 UTC,36826.06516926495,323082747.8440317,5275332.26465858
